size;insert;comb;count
177000;0;47;2
178000;0;47;2
179000;0;48;2
180000;0;49;2
181000;0;49;2
182000;0;49;2
183000;0;49;2
184000;0;50;2
185000;0;51;2
186000;0;50;2
187000;0;51;2
188000;0;51;2
189000;0;51;2
190000;0;51;2
191000;0;51;2
192000;0;52;2
193000;0;52;2
194000;0;52;2
195000;0;52;2
196000;0;52;2
197000;0;53;2
198000;0;53;3
199000;0;54;2
200000;0;54;2
201000;0;55;2
202000;0;55;2
203000;0;55;2
204000;0;56;2
205000;0;56;3
206000;0;57;3
207000;0;57;2
208000;0;57;2
209000;0;57;3
210000;0;58;2
211000;0;58;2
212000;0;59;2
213000;0;58;3
214000;0;59;3
215000;0;59;2
216000;0;59;3
217000;0;59;2
218000;0;60;3
219000;0;60;2
220000;0;60;3
221000;0;66;3
222000;0;61;3
223000;0;61;3
224000;0;61;3
225000;0;61;3
226000;0;62;3
227000;0;62;3
228000;0;62;3
229000;0;63;3
230000;0;63;3
231000;0;63;3
232000;0;63;3
233000;0;64;3
234000;0;64;3
235000;0;65;3
236000;0;65;3
237000;0;65;3
238000;0;65;3
239000;0;65;3
240000;0;66;3
241000;0;66;3
242000;0;66;3
243000;0;66;3
244000;0;67;3
245000;0;68;3
246000;0;68;3
247000;0;68;3
248000;0;68;3
249000;0;68;3
250000;0;69;3
251000;0;69;3
252000;0;70;3
253000;0;70;3
254000;0;71;3
255000;0;72;3
256000;0;72;3
257000;0;72;3
258000;0;73;3
259000;0;72;3
260000;0;73;3
261000;0;73;3
262000;0;72;3
263000;0;74;3
264000;0;74;3
265000;0;74;3
266000;0;73;3
267000;0;74;3
268000;0;74;3
269000;0;75;3
270000;0;75;3
271000;0;75;3
272000;0;75;3
273000;0;76;3
274000;0;76;3
275000;0;76;3
276000;0;77;3
277000;0;77;3
278000;0;77;3
279000;0;77;3
280000;0;77;3
281000;0;78;3
282000;0;78;3
283000;0;78;3
284000;0;79;3
285000;0;79;3
286000;0;79;3
287000;0;80;3
288000;0;81;3
289000;0;81;3
290000;0;81;3
291000;0;81;3
292000;0;81;3
293000;0;82;3
294000;0;82;3
295000;0;82;3
296000;0;82;3
297000;0;86;3
298000;0;83;3
299000;0;83;3
